AB.A.delta.h.T3,AB.A.delta.l.T4,AB.A.delta.c.F7,AB.A.delta.g.F8,AB.B.theta.h.T3,AB.B.theta.l.T4,AB.B.theta.c.F7,AB.B.theta.g.F8,AB.C.alpha.h.T3,AB.C.alpha.l.T4,AB.C.alpha.c.F7,AB.C.alpha.g.F8,AB.D.beta.h.T3,AB.D.beta.l.T4,AB.D.beta.c.F7,AB.D.beta.g.F8,AB.E.highbeta.h.T3,AB.E.highbeta.l.T4,AB.E.highbeta.c.F7,AB.E.highbeta.g.F8,AB.F.gamma.h.T3,AB.F.gamma.l.T4,AB.F.gamma.c.F7,AB.F.gamma.g.F8,COH.A.delta.h.T3.l.T4,COH.A.delta.c.F7.g.F8,COH.B.theta.h.T3.l.T4,COH.B.theta.c.F7.g.F8,COH.C.alpha.h.T3.l.T4,COH.C.alpha.c.F7.g.F8,COH.D.beta.h.T3.l.T4,COH.D.beta.c.F7.g.F8,COH.E.highbeta.h.T3.l.T4,COH.E.highbeta.c.F7.g.F8,COH.F.gamma.h.T3.l.T4,COH.F.gamma.c.F7.g.F8
15.788503,12.825676,20.982071,29.75125,10.044594,5.765737,12.029182,13.678623,16.863377,8.618321,21.013733,16.891322,14.725886,7.471363,16.649572,16.204767,1.551236,1.029575,2.172418,2.628031,1.236558,0.937354,1.548463,2.063362,30.066001,46.575893,59.181588,82.171682,63.329606,81.351038,58.003398,74.595814,74.22794,76.284087,78.570083,84.131382
13.672744,8.33052,17.133243,11.504542,9.816426,4.921185,14.305821,7.472497,7.093321,2.527495,7.246763,3.925594,8.343955,3.461581,9.234132,5.13762,1.68309,0.729825,1.958837,1.110987,2.228776,0.983307,2.107863,1.31639,27.980204,40.004003,18.280813,49.015612,23.496988,66.483055,28.332701,59.007215,44.637628,59.183981,46.13839,59.297834
6.670657,5.935246,12.432888,10.505899,7.558466,6.72006,15.098969,12.299097,31.436063,14.870302,66.688091,44.602399,16.03789,10.039116,16.609347,12.986289,3.612244,2.506684,3.357236,3.15685,4.711428,4.179107,4.138807,3.750778,20.858779,60.625282,20.994004,61.715816,30.738351,85.275186,14.849812,52.037674,12.384783,30.744298,29.046594,38.897994
5.856365,6.453396,12.015677,7.022853,3.152488,3.270964,5.854657,3.732121,4.894225,4.206833,9.649427,5.243797,4.457405,3.801246,7.04229,3.884521,1.005724,0.889427,1.311438,0.900143,0.859554,0.958783,0.900024,0.886197,15.766061,19.584396,5.127601,19.04597,3.594197,54.311343,3.291437,17.406715,8.459842,7.948716,1.735497,4.496623
8.856161,3.54735,12.508474,7.221621,4.567897,1.836065,5.302495,3.515545,22.75066,6.781873,34.696037,19.925337,9.719016,3.589577,10.714838,6.933385,1.54382,0.701472,1.798835,1.276169,2.388752,1.182131,3.003874,2.209966,42.031538,35.269806,48.132166,50.767893,74.450802,87.083083,36.116723,50.882862,40.668585,41.436195,46.09804,48.708283
12.193393,6.628916,17.654856,10.344318,7.802972,3.68257,10.276083,5.841622,17.709014,8.893351,25.757743,19.797412,33.93454,21.200381,36.474169,23.293103,11.754158,4.060316,8.552638,6.890677,12.672658,10.480466,15.98133,7.650705,31.38552,44.394656,10.91085,40.805475,6.092082,59.40674,9.192569,24.493853,1.957659,13.786186,3.211702,13.195489
9.806096,5.923406,13.520239,9.513335,5.041679,2.88859,6.654737,4.618062,5.664316,2.63273,5.492414,3.927464,8.547684,3.739254,8.476982,5.297943,2.694243,1.229511,2.817744,1.747619,4.515552,1.93085,4.171145,2.477765,21.774049,23.026227,35.854818,47.848027,1.087174,52.607155,13.859246,26.484185,16.436063,18.385474,21.666408,21.875354
10.014419,12.135333,27.143447,24.226679,14.885351,14.84844,27.201449,22.439519,60.293206,41.860341,85.645752,66.699234,11.951729,11.822394,16.643944,14.819401,1.155264,1.038722,2.725466,2.269529,1.859029,1.569373,3.965907,4.469857,43.55751,31.691019,46.814339,36.990862,42.747568,44.683679,39.615585,30.968526,40.169546,19.960751,43.904306,19.568175
7.476907,14.327734,17.403814,30.508339,8.272975,11.277253,17.900899,21.339312,16.08858,20.578869,31.832758,32.704388,3.767704,5.21291,9.010993,9.989306,0.382189,0.572045,1.002441,1.152768,0.502922,0.738253,1.284047,1.344651,31.386082,48.071683,27.980973,47.824929,9.690312,47.073712,25.99778,31.904875,26.378355,25.246438,35.239885,24.930921
9.254637,12.372303,12.523818,18.658831,8.406506,14.361224,17.830141,19.303218,16.440251,25.990792,37.280719,35.886883,4.251726,8.072239,8.287154,10.106731,0.389813,0.671754,0.817161,0.994498,0.392962,0.62178,0.701871,0.913816,43.502598,53.972022,48.263125,71.997708,49.212774,83.386536,37.204609,62.487018,66.593693,76.342169,73.149793,80.027276
