AB.A.delta.h.T3,AB.A.delta.l.T4,AB.A.delta.c.F7,AB.A.delta.g.F8,AB.B.theta.h.T3,AB.B.theta.l.T4,AB.B.theta.c.F7,AB.B.theta.g.F8,AB.C.alpha.h.T3,AB.C.alpha.l.T4,AB.C.alpha.c.F7,AB.C.alpha.g.F8,AB.D.beta.h.T3,AB.D.beta.l.T4,AB.D.beta.c.F7,AB.D.beta.g.F8,AB.E.highbeta.h.T3,AB.E.highbeta.l.T4,AB.E.highbeta.c.F7,AB.E.highbeta.g.F8,AB.F.gamma.h.T3,AB.F.gamma.l.T4,AB.F.gamma.c.F7,AB.F.gamma.g.F8,COH.A.delta.h.T3.l.T4,COH.A.delta.c.F7.g.F8,COH.B.theta.h.T3.l.T4,COH.B.theta.c.F7.g.F8,COH.C.alpha.h.T3.l.T4,COH.C.alpha.c.F7.g.F8,COH.D.beta.h.T3.l.T4,COH.D.beta.c.F7.g.F8,COH.E.highbeta.h.T3.l.T4,COH.E.highbeta.c.F7.g.F8,COH.F.gamma.h.T3.l.T4,COH.F.gamma.c.F7.g.F8
15.712969,19.277485,17.928299,11.8773,7.91168,7.633482,7.825699,6.987835,9.397794,14.664837,11.134951,19.146542,9.249021,9.915906,9.16868,9.540646,3.158939,3.664333,3.270926,3.384819,5.064856,5.775305,5.479425,5.324105,38.403612,43.964954,18.111797,47.762864,10.219207,49.631641,3.374604,29.107981,12.225302,27.036234,22.617376,53.08591
6.271729,17.458733,9.637586,10.235127,3.814556,4.172393,5.143044,5.994113,2.378427,2.934322,2.720213,3.562333,2.569321,3.754103,4.107017,5.574238,0.525716,0.850104,0.920687,1.112502,0.582592,0.7656,0.867648,0.973917,2.120817,4.739065,4.175387,22.544271,56.635152,88.942578,22.796168,46.832464,49.919494,52.363093,49.476477,54.681032
12.786696,15.169158,16.179928,20.486703,6.581894,5.606202,9.059491,8.414183,4.657406,6.526335,6.551345,7.875143,15.421562,8.831644,11.367558,11.714481,4.080294,3.414711,3.569578,4.451889,19.454614,7.123535,9.381811,10.094674,40.754853,29.008894,36.998315,36.498468,47.760625,79.099116,24.111234,30.804519,17.546788,11.115423,24.906491,7.428694
8.79917,5.497746,14.62959,8.561042,4.587493,2.998769,6.420932,4.447249,17.084946,12.046292,31.140972,24.653862,10.231614,5.732195,10.563924,8.098934,2.579597,1.289207,2.435602,1.725646,4.901991,2.722207,4.341976,3.333626,40.674532,31.197658,23.639393,40.130815,12.829528,58.724396,18.022713,50.845751,52.341711,65.763064,54.796697,74.233057
12.997309,8.898384,14.375576,15.173063,7.347817,7.839028,12.72702,11.380636,5.129731,7.168627,9.258517,10.226937,8.44758,18.556858,9.99628,8.052736,2.707235,6.27774,2.944691,2.679884,4.521956,16.045116,5.207529,4.606926,0.950592,8.772458,1.662208,19.137481,1.370481,24.746201,1.765469,11.457428,12.118633,24.30103,27.125612,30.454614
13.506323,13.669373,26.664358,30.430113,13.733358,11.494775,23.382695,24.257331,23.330669,28.927809,25.970597,26.512763,7.155146,7.972894,9.841697,12.918068,1.097842,0.811903,1.374006,1.296205,1.412965,1.053874,1.641455,1.976213,4.405917,16.330277,3.30438,23.368868,12.124751,53.236491,3.600932,19.486262,9.715892,19.140114,6.655029,16.490624
5.313449,5.528837,7.715499,7.828412,3.832362,3.845895,6.201796,5.997527,11.774628,10.743068,15.68071,19.521335,5.069355,4.81661,5.577069,6.129209,0.5387,0.516382,0.832298,1.042309,1.042033,0.757378,1.264686,1.652537,17.514527,34.728796,8.555802,33.908043,9.903635,66.01283,3.015666,23.356356,19.354582,32.196496,22.601728,37.707917
14.896746,25.873719,17.00797,20.53161,4.5492,7.517297,7.150747,8.21873,2.700855,3.372865,3.344719,3.671236,5.983984,5.122625,5.602823,6.713967,2.340346,1.256826,1.394636,1.66541,3.877569,2.218184,2.277212,2.553199,0.737864,10.418812,0.078822,29.200109,4.075792,79.659831,0.202485,25.81603,1.073439,20.402985,4.752642,18.990827
6.562245,4.077601,9.828767,7.466575,3.672295,2.629125,4.033441,3.65276,4.226314,2.924793,4.808293,4.134656,38.396448,20.255531,13.544047,9.557105,16.024614,6.363851,6.690357,4.993465,28.791328,15.736788,9.768691,7.149085,11.149766,9.105563,8.074031,13.794241,19.072667,45.083494,6.596652,17.95077,1.877214,5.833349,6.730284,6.123196
9.270196,7.93213,12.474928,16.471981,10.029618,10.306222,14.317844,13.171117,30.815443,21.650183,59.157161,49.704918,6.263215,7.241571,7.467899,7.564459,1.043263,1.196306,1.185068,1.282183,1.224104,1.558169,1.301204,1.463359,13.672626,18.040635,9.25905,28.505442,1.777714,26.302457,8.910056,24.949249,11.820631,19.436867,23.064439,37.513206
10.481564,9.484596,17.901662,17.845989,4.803519,5.679609,7.676291,9.574008,5.854155,5.082751,6.917838,8.265711,4.164548,4.327774,8.357044,6.672536,1.327365,0.741626,2.198028,1.045137,1.322638,0.997867,2.761016,1.058127,7.240201,33.593897,20.524747,69.380946,22.167091,84.99431,9.880887,53.988946,31.299799,54.518198,18.631927,50.409983
9.113954,12.098067,17.221533,13.922218,3.479562,4.383006,9.636935,5.393478,1.636888,2.22188,3.42201,2.249423,2.132507,4.340653,5.049143,4.142917,0.549534,0.7824,1.058947,0.719199,0.762844,1.128074,1.544181,1.072143,14.596762,49.907007,7.089135,43.574718,25.008423,61.613614,11.675806,41.897442,40.361346,62.101939,49.632403,67.459528
3.70724,8.531182,6.26271,9.352749,1.967958,4.370552,3.391339,5.040858,10.345092,18.991057,34.146656,39.558913,3.13496,6.210876,4.382996,6.79485,0.356752,0.731932,0.484813,0.834499,0.41086,0.835459,0.652995,0.931201,13.568131,27.552252,6.089347,35.057381,47.432915,88.7345,23.261771,56.726459,44.465769,48.253827,58.807068,55.958369
10.555777,12.809256,17.517948,26.315085,7.442527,10.680315,11.638479,19.571651,3.786912,3.360573,3.950541,5.878765,42.673028,8.738308,8.047838,12.540982,7.250436,3.596411,3.818637,5.321282,24.118264,5.037014,4.150194,5.24586,15.706491,46.960918,20.487777,53.599767,25.659796,72.49156,6.948646,16.83938,20.358237,24.685229,8.480086,18.271138
24.015035,9.063996,20.194295,21.064817,14.093661,6.673609,13.26785,12.445979,11.255808,5.602473,10.001639,8.431018,12.727395,6.815178,10.593674,10.217165,2.910209,1.936596,2.388027,2.329833,4.427124,3.332275,3.365037,3.282946,31.154749,41.764999,20.988295,46.593233,14.499495,35.069345,24.753946,37.508347,43.278389,50.253254,49.699293,58.136513
16.686077,9.437947,30.376742,14.682631,7.450026,4.759492,11.13858,7.639965,3.324312,2.347305,4.798856,2.755967,4.696818,2.786845,6.701323,3.271765,0.815972,0.482717,1.280892,0.489665,1.059388,0.612912,1.6598,0.603918,22.700866,26.772315,30.958027,56.837662,58.521433,87.892794,13.949325,32.985214,13.316312,12.788781,17.878905,12.57207
3.210583,5.837867,8.828683,8.027768,4.058633,5.878296,7.258545,8.718965,5.921202,7.668632,11.029515,11.629956,2.999716,4.839035,4.589521,5.541973,1.256485,1.452413,1.622135,1.588261,2.910162,3.188251,3.2502,3.303873,1.595312,4.704784,11.503805,25.358862,14.250071,55.685951,5.623801,18.362568,12.097471,10.685996,18.978026,11.324126
18.238678,25.798033,10.815589,15.832725,12.340949,14.239068,9.666121,11.475537,8.867323,10.646847,7.407115,9.027506,12.168287,12.747208,8.028192,8.659022,2.876761,2.675793,2.14022,2.039476,4.286302,3.769063,2.566276,2.322424,6.657785,19.403093,19.123504,50.277079,22.009348,74.042435,11.916452,40.594982,13.920729,21.227489,15.711128,20.318411
8.887884,5.159626,12.188103,9.324537,12.036825,6.081363,17.849765,15.934013,33.395935,18.241825,49.122876,58.211149,10.700124,4.970051,10.277619,9.419417,1.426103,1.050513,1.615736,1.371199,1.709531,1.401178,1.988252,1.726248,14.737378,14.180917,19.372912,32.475321,53.046902,82.00948,11.537848,36.642937,16.812446,14.456626,38.091028,29.525489
8.16718,9.868652,17.592733,9.690934,3.183808,2.666537,6.201128,3.9378,6.251069,3.703485,12.673588,10.476611,4.033334,3.304365,6.748984,5.025226,0.681089,0.604242,1.014183,0.663092,0.879715,0.950382,1.315411,0.828303,17.951325,26.968062,13.789796,33.852918,15.791933,53.612063,5.027765,36.070487,4.431516,21.557967,7.839211,16.115189
8.321276,6.147354,11.12903,10.656694,5.659287,3.360972,7.059715,5.507714,6.056684,4.307882,8.075145,6.717379,5.212106,3.16289,5.290457,4.344178,0.764895,0.584354,0.996307,0.882734,1.233651,1.128372,1.573021,1.482196,16.929303,8.195937,16.498824,23.131049,43.409824,85.271354,17.672512,37.999803,41.057514,41.002278,57.127137,41.996287
6.637957,7.003572,11.209447,12.030436,6.199914,6.021211,9.034561,9.194439,8.115677,7.8675,9.347429,10.075307,3.102566,4.807168,4.690316,5.687769,0.688467,0.950173,1.085549,1.178525,0.890862,1.478474,1.252959,1.386772,3.796159,8.86072,3.460422,12.27564,31.569169,70.771365,4.088264,17.697781,1.128108,7.009305,1.491379,9.919479
10.773341,13.283877,18.758738,13.802489,7.361322,7.234228,10.916724,8.608565,7.447258,7.840317,9.91234,9.7074,9.801883,9.271569,12.987932,11.864469,2.380455,2.434954,3.757748,3.395198,3.130452,3.162909,4.796057,4.420938,47.461225,47.725751,41.24893,50.521022,20.231102,55.922851,36.930126,26.983136,49.761502,14.8415,39.970027,3.442893
7.043613,6.474302,12.934928,8.115345,4.185539,3.778669,8.169971,5.851258,1.891479,1.859649,3.343203,2.045678,3.532841,3.198146,5.971978,3.936672,0.746474,0.643903,1.624208,1.014209,1.022225,0.881103,1.987844,0.96467,19.074165,20.85283,32.663548,44.980717,33.440983,70.978131,20.811784,44.657585,37.190802,46.581932,45.064612,51.524711
20.619898,9.846795,15.279566,19.089622,9.289946,5.448466,8.511884,8.975091,4.017235,2.851141,3.575767,3.962122,5.511488,5.602317,4.933076,5.443073,1.293626,2.255193,1.281915,1.350178,1.793014,3.311755,1.77379,2.00707,26.219894,17.870689,30.031766,32.697205,27.598848,61.745477,18.804857,38.503182,30.852474,33.587335,44.549877,56.725154
8.244628,12.053307,17.881136,19.175828,6.718305,9.856328,12.79991,15.257945,5.199156,7.866475,10.533571,11.764854,3.354811,4.771802,7.069742,7.302818,0.368275,0.669021,0.806565,0.95843,0.387143,0.740661,0.731139,0.741441,52.407565,42.710118,23.53941,41.087222,51.230337,88.433965,12.346938,33.830378,20.38995,16.014096,37.329982,28.214517
7.634126,4.687996,13.711351,6.832827,7.280495,4.762176,9.292359,7.551273,4.651948,3.218564,6.863816,6.067387,4.608583,2.859091,6.524372,5.275604,0.669305,0.368873,1.105907,0.953383,0.773802,0.589561,1.470316,1.519479,8.732872,20.983686,8.602499,25.868403,36.473449,78.361793,13.162021,43.251615,5.858782,13.161621,25.157069,27.252876
7.021926,7.807457,11.042644,10.174481,5.057251,6.864441,7.444892,8.142648,2.386926,3.814945,2.896302,3.316086,2.585045,3.703877,3.585875,3.815133,0.529315,0.795163,0.869493,0.915555,0.599829,1.028866,1.002758,1.042881,0.257504,3.087491,0.35696,25.008491,2.888815,54.025387,0.675254,22.400046,2.820097,15.008737,7.579331,20.146009
2.998347,3.268955,8.252387,4.80009,1.915687,2.218265,3.38005,2.99549,2.286249,3.759269,2.634755,3.573341,2.553456,3.225734,3.656958,4.649068,0.436327,0.410729,0.715769,0.905082,1.055503,0.956962,1.874855,2.720594,4.888652,21.874375,3.345494,23.85517,3.486613,33.522233,6.361091,30.732782,21.492651,49.935316,13.477713,48.514912
8.486831,5.339289,8.522406,8.586246,4.195111,3.926947,4.206756,7.173019,2.842032,3.399484,2.868233,4.9891,5.633538,5.661804,5.668611,9.842861,1.497998,1.360971,1.508051,4.171278,1.585803,1.394487,1.596101,2.810495,17.292998,21.553507,8.888403,34.224414,33.771329,73.652726,12.500454,36.295023,19.468725,31.976675,22.911542,40.897876
10.718988,15.637233,17.058486,21.097205,5.977891,10.027881,8.89821,11.512959,6.553197,12.944446,7.318829,10.607525,4.852639,8.530035,6.978497,8.696604,1.067826,1.938038,1.752193,2.126481,1.344477,2.334673,2.119899,2.445396,4.205729,18.563134,0.10113,28.966682,6.958728,66.512736,22.581441,60.036589,52.119608,74.321046,48.973849,77.198643
4.327315,4.284638,6.712648,7.507491,4.700689,4.004855,7.24754,6.250225,14.324813,11.134955,26.339057,24.961063,4.191613,5.202148,6.095496,6.440101,0.501724,0.73288,0.746326,0.710829,0.483861,1.043152,0.71205,0.742891,8.270197,2.471977,0.165928,1.588798,4.009731,4.78785,11.870989,15.22441,26.447136,16.269259,24.664678,20.693885
6.854717,5.175851,11.117386,8.397396,4.324768,3.323422,5.837726,4.836994,3.63283,2.988019,4.506709,4.198691,4.705796,5.939235,5.268105,5.210716,2.775237,3.185763,2.841052,2.919087,4.213694,5.114254,4.150801,4.325145,17.01126,9.731386,5.837554,14.978641,1.238664,30.029179,1.494649,24.653762,26.907508,49.346081,23.485926,52.323465
7.042545,6.236337,11.090719,9.862985,5.959292,4.964652,9.441527,7.123013,9.400835,8.250686,11.722771,9.843765,4.177553,4.322279,5.776873,5.009113,0.821927,0.919094,1.142041,1.110598,1.14575,1.401181,1.56454,1.707093,67.769891,82.197949,70.387108,86.743045,71.238625,87.93753,62.043652,80.560668,56.66986,71.334984,63.302839,75.795954
9.452226,7.490767,14.575594,18.475137,7.084464,5.932811,10.15216,12.148578,6.056642,5.751093,10.6085,12.390245,7.577109,24.816999,12.630783,10.962617,2.922542,9.518377,4.364895,4.656584,5.382826,16.887316,8.476263,6.483631,5.775366,7.577781,4.973463,19.713979,16.393604,54.072678,3.636289,29.98657,2.678983,15.661816,7.520247,20.73321
9.452226,7.490767,14.575594,18.475137,7.084464,5.932811,10.15216,12.148578,6.056642,5.751093,10.6085,12.390245,7.577109,24.816999,12.630783,10.962617,2.922542,9.518377,4.364895,4.656584,5.382826,16.887316,8.476263,6.483631,22.256919,38.830766,5.955054,34.764761,23.060913,75.875482,2.45034,30.642417,3.110674,27.146089,7.898068,32.446604
4.889309,6.263826,9.757975,10.901788,3.300541,4.537928,5.345696,6.551639,3.875972,5.050196,4.538413,5.865542,7.756076,7.717129,7.488215,8.49168,2.130212,2.012954,2.132039,2.327293,4.271791,3.32028,3.767684,4.348061,9.308928,32.698977,11.729552,42.83945,2.288733,25.135158,0.871184,17.5414,4.394992,15.443713,11.402465,13.752301
13.533163,9.969829,14.439514,16.237472,10.983152,9.647363,11.406282,12.408116,4.85293,5.792441,4.975204,6.431747,4.32056,5.416153,4.442821,5.665911,0.768812,1.138685,0.800523,1.316874,0.986403,1.857186,1.015496,1.895342,7.436727,22.848739,2.249878,31.583959,15.528449,59.01118,6.065556,25.864851,20.337644,32.812667,31.930407,34.609788
6.630536,5.742282,9.644113,7.495992,7.505412,4.875099,10.020352,7.842475,15.825768,9.061397,24.140947,18.823337,5.409116,3.890285,6.532497,5.696055,2.1715,1.960007,2.58579,2.512487,2.032868,1.856804,2.457161,2.506827,7.275029,5.676729,17.315523,17.507816,36.47287,61.747278,4.826012,14.250632,7.207418,8.534265,11.972925,14.220527
8.554496,8.627203,14.034457,13.706449,4.579554,5.34858,6.22513,6.970512,2.300907,3.023263,3.495726,3.684935,7.141713,8.627062,9.751839,9.255078,2.824649,3.293484,3.884874,3.559144,4.146101,4.385335,6.005443,4.746523,3.202679,15.431161,1.278139,9.486179,0.216642,16.054148,0.359556,8.576276,1.530801,11.52456,6.521937,21.752217
3.787451,3.84284,7.322093,11.415454,2.958426,3.259316,4.905713,5.869694,5.752272,7.236119,8.147417,9.56948,3.164729,3.400497,3.236141,4.429812,0.711635,0.75746,0.833327,1.608149,1.911711,1.746168,1.77458,3.377777,6.337042,15.253458,6.631285,31.546357,18.799291,73.553201,9.029048,20.408284,20.850655,27.421279,24.835734,24.36507
5.291029,5.89081,11.926196,8.848478,3.33303,3.424338,4.446306,5.01108,1.851938,1.792759,2.552337,2.663868,2.416323,2.408594,3.2799,3.458773,0.366612,0.42927,0.539128,0.530927,0.500442,0.542442,0.619757,0.593478,4.40942,11.354544,2.503787,20.032188,1.058825,24.957687,0.231276,9.325656,0.564055,5.472516,1.777467,7.074091
3.252059,4.566481,4.872178,4.729273,1.837043,2.424556,2.857448,2.503721,1.71873,2.771741,2.838264,2.847712,2.899366,3.521287,3.749497,3.601907,1.142411,1.369849,1.396325,1.399971,2.024133,2.170515,2.196382,2.207459,60.420034,65.486401,67.065793,79.555109,69.897841,85.392689,58.466123,72.062219,63.197891,66.647183,65.9127,69.690183
6.502903,7.767876,7.530112,7.899306,5.551099,6.535169,6.843715,7.201901,4.150517,4.679613,4.392754,4.968683,9.994881,8.775515,8.01145,12.047647,3.46331,3.134426,3.201895,4.727395,6.38666,4.924062,4.416852,8.982261,73.648527,63.208819,70.979952,73.971157,28.856242,66.117322,65.074879,75.033052,57.556402,61.187971,58.129879,65.977576
6.732524,9.292838,8.827074,10.210148,5.81883,7.610429,8.194476,8.929306,5.266311,6.39193,4.805128,6.172614,9.288119,12.872652,9.560206,10.853741,4.562205,5.973737,4.819088,5.221229,6.529486,8.087501,6.596512,7.05457,77.349435,81.585465,68.164844,80.522121,57.235886,88.511563,55.12456,80.321073,49.648496,64.748705,48.343972,61.063588
5.512074,6.064497,7.645792,8.202151,4.860268,4.524387,6.243049,5.341045,3.040195,4.362873,3.54022,3.994364,2.033334,2.417872,2.853091,2.873802,0.485683,0.482137,0.705132,0.68432,0.744979,0.717967,0.983448,0.953519,17.310625,16.798368,12.906918,41.848486,34.140499,76.474243,2.129743,17.786277,6.892821,17.118484,13.255881,24.387058
4.061713,5.444002,6.726696,7.332956,3.310909,4.506005,4.25624,5.792024,2.349458,3.53921,2.8578,4.130974,3.418645,6.496748,4.504986,5.908363,0.794744,1.825762,1.154804,1.712659,1.093408,3.421112,1.463722,2.269555,11.024638,16.60844,0.268377,16.130102,0.596094,37.232552,2.077724,23.725013,25.476144,30.720442,39.33862,45.214236
6.51139,5.446789,7.278791,9.275185,4.745086,4.573292,5.24244,6.93341,4.918738,5.2197,5.07447,6.312006,3.996283,3.832955,4.374414,7.255704,1.098713,0.956935,1.401211,3.355767,1.133343,0.980965,1.324878,1.870924,25.837638,20.914519,24.129525,36.455586,39.154739,80.6218,50.830336,72.09425,78.83569,84.991658,87.077505,90.107578
5.849409,5.909358,7.084936,6.583594,3.940544,4.780873,5.286072,5.019489,1.774475,2.189471,2.1826,2.352346,3.269271,5.190875,4.790799,5.475328,0.718887,1.244132,1.065083,1.497277,0.863104,1.491563,1.178922,1.214804,1.869686,21.793377,1.756369,34.528642,0.738335,36.179178,2.301904,35.12646,5.946013,25.763946,8.616936,28.724421
7.969303,5.604427,10.7616,8.722063,4.261923,2.773955,5.580928,4.101726,4.436796,3.489146,5.203314,4.317093,6.476386,7.714012,6.941469,6.583039,3.167776,3.917979,3.402712,3.224344,6.198768,8.282201,6.340118,6.340005,5.219388,19.283429,2.387928,20.034401,3.032025,35.264464,2.744752,21.95757,17.219119,22.897782,33.068242,42.810631
12.756098,9.217425,17.742168,14.483841,10.024192,8.557352,12.979867,11.129664,15.329672,15.706826,24.998722,27.666193,5.982752,4.793299,8.464275,6.146731,0.733254,0.53178,1.768439,1.161053,1.094905,1.112695,3.398595,1.899272,32.558856,34.696097,46.244119,61.676204,36.961323,74.331195,29.668068,54.628866,37.051908,45.970554,41.258997,44.891434
4.607822,5.79558,8.20541,6.641631,3.155302,4.994018,7.148575,6.437026,5.772022,9.015188,10.905481,10.363224,4.489868,6.697912,7.461124,10.949604,1.096085,1.83644,2.517116,3.732445,1.566756,2.298421,2.016533,6.735136,21.52214,31.870162,22.294227,64.321971,25.762462,70.818546,4.071511,33.858445,3.119025,16.352249,9.495189,22.528878
6.093055,5.523081,9.166812,7.15485,5.127883,5.213842,6.275079,6.228283,6.026296,5.670273,6.870138,6.243246,7.679601,8.796531,7.091065,8.357544,2.759757,2.765027,2.18133,2.505079,0.258724,0.289113,0.189655,0.237973,48.673361,67.948505,48.954509,81.152089,33.734599,88.903354,33.996934,82.429084,44.163659,81.048698,38.210588,79.471153
15.2698,16.278263,24.550268,23.433969,17.592163,26.289084,25.029028,33.75472,33.244899,79.292715,64.758904,118.171117,6.917043,8.305482,10.399539,10.70016,0.747201,0.879429,1.022469,1.017492,0.374816,0.371742,0.497003,0.515936,17.399277,34.278044,13.106786,59.150564,27.298483,85.963543,1.028527,41.706799,0.599706,18.680492,0.35028,26.755628
9.235882,9.732539,11.964597,18.791673,6.418423,8.776214,8.199911,13.71991,20.245972,30.283931,29.223421,47.175656,8.839449,15.060012,11.969939,21.949233,1.335476,1.774831,2.018212,3.195583,0.514947,0.603677,0.586007,0.845807,9.725018,5.925089,25.562527,34.408671,68.397478,84.868758,10.920266,29.481949,4.14924,6.727779,2.424267,4.521234
5.157823,5.64514,8.184706,8.346585,4.311399,5.175687,6.556337,7.662186,16.547897,19.903227,32.195419,36.330407,8.194753,10.44417,10.685279,14.184846,1.399778,1.470995,1.687923,1.850388,0.983301,0.945866,1.021688,1.031593,20.044648,24.171933,3.02163,27.669087,9.522348,68.109947,6.322788,40.705712,3.035992,16.395987,3.927715,27.819187
8.784063,5.528058,9.034439,11.571141,3.94967,2.286429,4.503453,4.360297,2.715161,1.675679,3.278273,2.801757,5.249759,3.268392,5.504441,4.674702,0.987889,0.828485,1.250914,1.186816,0.683832,0.554297,0.914672,0.84053,11.680873,28.261457,29.583064,62.012074,3.039959,31.483607,4.125404,22.833067,8.407192,20.917906,14.935849,9.398621
11.295276,8.594821,17.583985,13.217181,7.469925,5.830846,10.861501,9.455422,29.298755,11.556814,47.515673,32.680975,12.266346,9.357614,17.31458,14.517588,0.864037,0.804851,0.965018,0.938403,0.46942,0.438377,0.547587,0.509724,40.372851,22.893426,1.076452,15.84873,9.133753,64.761962,0.991058,18.221463,0.589888,9.304212,3.235049,1.714231
7.988227,8.848409,8.677492,9.917265,5.215652,5.787874,6.206259,7.230997,10.191411,12.581998,13.06867,16.850441,4.58427,5.449363,5.250765,6.278185,0.796906,0.844838,0.828619,0.894089,0.533376,0.559275,0.545927,0.579293,27.504064,48.904339,14.241759,42.693081,80.767049,90.93301,32.320875,51.389692,52.193836,61.778568,45.283719,57.049654
18.926313,14.485124,16.062682,39.87028,6.098878,4.516641,5.321752,15.549507,9.396771,11.386608,17.18392,24.481477,5.123539,4.707112,5.87137,12.211877,0.4822,0.426088,0.599766,1.530703,0.503771,0.50939,0.707483,2.032055,14.496904,51.71849,11.861866,49.441229,34.351358,73.854122,38.2085,62.36966,59.762647,73.543795,70.008005,85.498368
4.095711,7.386855,8.543582,11.864435,7.091901,13.619148,11.966885,17.966419,24.83029,29.48034,52.877178,64.063041,5.062614,11.39583,6.451663,8.828588,0.591198,1.270716,0.558033,0.763554,0.619561,1.729202,0.531564,0.77695,3.686077,16.234495,14.615371,52.392163,9.488408,31.001683,2.719533,32.369032,12.433769,28.310733,31.798444,38.740756
9.935997,10.032635,8.894794,12.773263,8.21029,6.288805,7.77383,12.030675,16.790601,9.221656,16.528063,17.448461,17.599746,12.689227,16.176019,20.992692,1.705601,1.336393,2.525224,2.708715,0.625587,0.587508,0.637901,0.803567,5.35079,4.878209,5.924021,20.534943,8.230799,27.657243,12.687893,38.005868,43.335037,54.082765,45.573889,56.052143
7.4624,8.253967,8.517659,15.297849,7.263894,7.846942,8.591453,11.096525,16.585072,16.268969,14.790301,16.66179,8.266461,11.215424,10.719664,12.722622,1.156858,1.391994,1.342527,1.620395,0.414748,0.537889,0.503843,0.684346,1.111741,7.695305,2.101869,15.691094,49.077929,89.03637,10.851759,46.722436,13.86176,35.914525,16.499912,28.225532
11.54848,7.601517,17.702133,17.419992,36.885816,20.877294,55.383357,44.948655,76.691733,31.597032,100.742618,76.833935,12.034835,6.096495,16.854361,13.72349,0.77124,0.429769,1.053499,0.922903,0.445357,0.260139,0.549111,0.522385,22.367467,13.088774,21.346442,27.994126,26.207305,31.4215,9.523125,14.058591,11.063374,6.577672,17.824473,14.066554
6.588239,7.600375,9.573189,11.064571,3.419864,6.079912,5.005845,8.389866,6.043665,8.823764,8.256217,11.332503,5.572556,11.566147,6.753669,11.78726,1.00692,1.250718,1.080237,1.081172,0.651586,0.821916,0.759963,0.637775,7.366992,9.548242,4.688671,12.093392,20.121627,50.944478,19.288036,43.948451,41.707591,50.001812,40.25376,45.822121
10.948982,9.992235,14.876879,24.338391,5.109635,4.103747,5.836496,11.962065,3.373045,3.796136,4.009219,8.027557,7.402413,9.646708,7.685776,13.648233,1.121161,1.555634,1.027255,1.750483,0.672196,1.009297,0.607378,0.956856,2.39459,2.425714,3.827549,22.187466,0.181703,7.707524,0.681434,1.129518,0.620018,2.859155,0.276362,1.681626
4.930396,9.020708,11.75869,10.090797,2.800729,4.632397,5.377988,5.253897,2.759495,4.548426,4.307709,4.827508,5.630259,10.535227,6.212702,8.529178,0.715614,1.492965,1.084771,1.405126,0.622221,1.454449,0.841991,0.99383,1.236326,1.28539,9.251721,34.140765,45.313942,87.312173,7.270108,42.803714,8.397093,23.235682,16.67549,24.778271
9.488589,7.350693,10.17826,10.226245,4.945693,3.08037,6.396874,5.175172,2.238582,1.455734,2.685782,2.196766,4.15902,2.748357,7.015436,4.017299,1.568341,0.887159,2.937888,1.678395,1.641817,1.134798,3.296304,1.671018,3.892148,14.280655,0.389638,16.250027,2.304501,52.341389,1.238513,17.371611,4.357415,8.806167,13.666604,20.777579
7.65007,7.143865,11.729942,11.764645,5.85799,5.470843,8.120543,9.049579,18.387661,16.799435,27.889039,32.32386,7.297049,9.375027,8.24863,8.26594,0.882061,1.690333,0.904371,0.828006,0.581232,1.109298,0.587709,0.532861,0.76924,6.477411,8.928331,34.301531,2.726883,41.266763,29.884842,50.810325,26.368712,22.234616,41.425396,59.084581
6.663962,6.832317,29.799013,16.862874,4.579793,3.654056,14.778988,6.814506,25.612491,25.22344,53.186546,52.945152,16.586863,14.533035,28.153247,24.925879,1.31476,1.071276,2.60888,1.775191,0.822251,0.625841,1.508445,0.856072,1.932954,13.555831,0.278699,4.720764,6.792376,36.704684,0.372165,17.433941,6.055498,27.442617,1.093429,21.822045
9.897625,11.408943,11.553745,11.820355,5.639328,7.463161,8.242315,8.199088,5.78018,8.091979,11.926963,9.934895,3.94718,5.412779,5.085077,5.604097,0.657926,0.902847,0.80806,0.903956,0.766706,0.954838,0.866199,0.92012,1.35054,0.613967,0.655729,6.784044,4.524609,38.923748,0.289763,11.034202,0.522727,6.830799,9.362989,26.694121
2.669419,9.022934,3.524023,5.630043,2.049534,5.569053,3.10526,5.269997,4.667597,8.233179,8.201279,11.827943,2.914413,6.066071,4.170316,6.142169,0.582673,1.079446,0.780017,1.111694,0.728459,1.29799,0.906415,1.171126,33.840977,25.399276,11.011658,29.106025,10.238928,61.05265,1.206322,23.443465,0.109498,11.650976,4.639836,14.156035
16.928534,13.725532,15.967572,15.433435,10.527121,9.299679,11.936296,12.159521,7.686614,6.464129,9.562746,10.365847,9.67439,7.026426,9.898385,9.5496,0.891378,0.700979,0.975802,0.916554,0.453633,0.329936,0.360778,0.36539,0.565915,6.531632,0.363724,10.95356,0.023246,16.540553,11.038781,27.877351,30.384127,18.326888,45.802827,51.967093
9.696987,6.783452,15.787963,13.773463,6.913263,4.598653,10.18635,7.85631,11.159,5.094303,10.809213,7.311423,5.956041,2.861894,5.818044,3.816125,0.594754,0.365976,0.731175,0.561097,0.261122,0.18412,0.337919,0.290809,2.166267,5.838605,0.125437,20.792197,0.05175,34.094636,0.1097,17.82071,1.725814,27.703484,1.652265,28.097115
